folder,File,max_acctive_AD_MMG,max_acctive_SN_MMG,max_acctive_AD_BA,max_acctive_SN_BA,max_acctive_AD_LE,max_acctive_SN_LE
1,1,0.3399,0.4608,0.2516,0.1362,0.2931,0.4642
1,2,0.36,0.1846,0.1265,0.1169,0.3283,0.535299999999999
1,3,0.3957,0.1666,0.1144,0.1087,0.3506,1.5147
1,4,0.3474,0.4939,0.1135,0.1074,0.3859,1.2163
1,5,0.3348,0.2167,0.2309,0.2574,0.6477,0.3543
2,1,0.2492,0.1737,0.1216,0.1256,0.5658,0.4377
2,2,0.0922000000000001,0.2027,0.1214,0.1231,0.597,0.6948
2,3,0.1657,0.2464,0.1203,0.1167,0.642199999999999,0.6444
2,4,0.2098,0.3352,0.151,0.1849,0.565,0.8341
2,5,0.2225,0.1711,0.1301,0.1202,0.4184,0.7534
3,1,0.4175,0.2554,0.3461,0.4317,0.5133,0.645
3,2,0.3821,0.3077,0.5874,0.1367,0.3776,0.3754
3,3,0.3861,0.2748,0.193,0.1327,0.3284,0.8368
3,4,0.3336,0.1655,0.2461,0.1624,0.691,0.4308
3,5,0.3941,0.1985,0.1847,0.3681,0.3432,0.444999999999999
4,1,0.2056,0.4687,0.1119,0.1034,2.8548,3.3957
4,2,0.2589,0.3181,0.1563,0.2114,1.1692,0.7937
4,3,0.2198,0.5664,0.1171,0.116,1.6227,4.2318
4,4,0.201,0.247199999999999,0.1095,0.1111,4.684,1.9203
4,5,0.293699999999999,0.3041,0.1117,0.1056,2.1126,4.2272
5,1,0.2599,0.1935,0.2296,0.1848,0.3583,0.3964
5,2,0.345,0.3113,2,0.4038,0.3858,0.5406
5,3,0.3289,0.2779,0.5797,0.2698,0.5735,0.5397
5,4,0.344,0.3048,0.2286,0.2306,0.3824,0.5265
5,5,0.226,0.1975,1.0498,0.1251,0.9326,0.5033
6,1,0.1359,0.3637,0.144,0.1584,0.9458,0.5164
6,2,0.2043,0.3958,0.1588,0.1471,0.6969,0.5852
6,3,0.4398,0.4312,0.1503,0.1582,0.9601,0.5367
6,4,0.3111,0.2228,0.1672,0.1567,0.6245,0.322
6,5,0.2882,0.2724,0.1975,0.1946,0.692600000000001,0.5304
7,1,0.0838999999999999,0.2533,0.111,0.1452,1.1178,1.4311
7,2,0.1632,0.4256,0.11,0.1405,0.8329,1.5986
7,3,0.0931000000000002,0.1814,0.1096,0.1083,1.253,1.4449
7,4,0.2563,0.2091,0.1204,0.2224,1.3871,1.4756
7,5,0.3289,0.2031,2.6829,0.1152,1.4126,1.4329
8,1,0.2431,0.4806,0.2447,0.2304,0.6089,1.0598
8,2,0.3193,0.4686,0.2386,0.2393,0.5481,0.966
8,3,0.2579,0.4375,0.2203,0.215,0.3331,1.0087
8,4,0.2665,0.4352,0.2257,0.2205,0.3077,0.7893
8,5,0.3178,0.4512,0.2006,0.205,0.5222,0.7625
9,1,0.1594,0.2442,0.1028,0.1028,0.8691,0.5521
9,2,0.3103,0.2274,0.1101,0.2105,0.4362,0.8378
9,3,0.3257,0.1395,0.189,0.2263,0.5023,0.6959
9,4,0.2463,0.1957,0.1115,0.2808,0.4145,0.4117
9,5,0.1492,0.2235,0.1188,0.1629,0.5699,0.6081
10,1,0.1831,0.1944,0.1189,0.1103,0.4268,0.4064
10,2,0.2215,0.2345,0.1486,0.1093,0.4228,0.5579
10,3,0.3105,0.2317,0.112,0.1221,0.8058,0.3005
10,4,0.2391,0.3026,0.1746,0.1204,0.908,0.5002
10,5,0.1537,0.2166,0.1136,0.13,0.4444,0.2871
11,1,0.0785999999999998,0.1186,0.1079,0.1106,0.425,0.4536
11,2,0.0883000000000003,0.1287,0.1126,0.2489,1.1732,0.8794
11,3,0.0781999999999998,0.1184,0.1072,0.1072,0.8232,0.4556
11,4,0.0821000000000001,0.1281,0.1095,0.1142,1.2043,0.5477
11,5,0.0887000000000002,0.2234,0.1067,0.1087,1.1807,0.3877
12,1,0.3029,0.4645,4.9976,4.9976,2.3779,0.4201
12,2,0.43,0.1945,4.9976,4.9976,1.0727,0.4322
12,3,0.189,0.2421,4.9976,4.9976,1.0654,0.3473
12,4,0.1075,0.1844,4.9976,4.9976,0.6965,0.291799999999999
12,5,0.2069,0.1731,4.9976,4.9976,2.0749,0.2831
13,1,0.2673,0.438,0.1908,0.1093,0.5855,0.4611
13,2,0.3988,0.4924,2.4988,0.8709,0.5875,0.6221
13,3,0.3896,0.3375,0.3842,0.7792,1.0696,0.5332
13,4,0.4132,0.1837,0.4187,0.2474,0.3571,0.4574
13,5,0.2161,0.2365,0.6581,0.7941,0.8307,0.600000000000001
14,1,0.5261,0.293200000000001,4.9976,0.1234,0.989100000000001,0.5785
14,2,0.2438,0.37,2.4935,0.1318,0.783199999999999,0.6642
14,3,0.1862,0.2495,4.9976,0.233,0.5477,0.3417
14,4,0.1819,0.2384,0.1617,0.109,1.0389,0.4266
14,5,0.23,0.3018,0.1072,0.1038,0.4018,0.8097
15,1,0.2023,0.3278,3.5003,4.9976,0.3348,0.6595
15,2,0.258,0.2965,4.9976,4.9976,0.4753,0.5628
15,3,0.2233,0.3109,0.604,0.3762,0.4244,0.6203
15,4,0.254599999999999,0.1511,0.2849,0.213,0.4073,0.4872
15,5,0.2385,0.5775,0.1198,0.5266,0.6383,0.4633
16,1,0.3934,0.1346,0.1073,0.1047,0.3121,1.9456
16,2,0.3854,0.4408,0.1071,0.1054,0.5053,1.3984
16,3,0.3743,0.1476,0.1049,0.1068,0.4714,1.6372
16,4,0.4777,0.1198,0.1031,0.1048,0.4094,1.1544
16,5,0.3952,0.1946,0.103,0.1126,0.4342,2.2746
17,1,0.2342,0.4271,0.1991,0.1674,0.8335,0.448700000000001
17,2,0.2511,0.469,0.2565,0.174,0.74,0.434
17,3,0.1033,0.4932,0.1202,0.2267,0.7778,0.6686
17,4,0.1071,0.2502,0.1801,0.1204,1.6647,0.5668
17,5,0.0797000000000003,0.2125,0.105,0.1024,0.6705,0.5921
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
